tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Bouquet River,04276500,2024-05-16,2024,-1.755127948489587,-1.8346870184940889,-1.6909621619761888,-0.008913996710558703,0,-1.7462139517790283,Spring
Bouquet River,04276500,2024-05-17,2024,-1.8116927023264786,-1.825455857449513,-1.7029003441456902,-0.056564753836891635,-1,-1.755127948489587,Spring
Bouquet River,04276500,2024-05-18,2024,-1.8807343170232236,-1.8189371637876774,-1.7139789750151835,-0.06904161469674497,-1,-1.8116927023264786,Spring
Bouquet River,04276500,2024-05-19,2024,-1.9272348265536796,-1.8183618081758142,-1.7264282369836046,-0.046500509530456036,-1,-1.8807343170232236,Spring
Bouquet River,04276500,2024-05-20,2024,-1.964482883973309,-1.8240428263003123,-1.7425943037478615,-0.03724805741962944,0,-1.9272348265536796,Spring
Bouquet River,04276500,2024-05-21,2024,-1.9946776693300603,-1.8414847633040703,-1.7577216429915552,-0.03019478535675124,0,-1.964482883973309,Spring
Bouquet River,04276500,2024-05-22,2024,-1.8888269949449166,-1.8685948999250523,-1.7727299466022006,0.10585067438514373,1,-1.9946776693300603,Spring
Bouquet River,04276500,2024-05-23,2024,-1.9054793025249115,-1.8889681918058936,-1.7818027348712735,-0.01665230757999492,0,-1.8888269949449166,Spring
Bouquet River,04276500,2024-05-24,2024,-2.01421977705396,-1.9104469566680828,-1.789870282011793,-0.10874047452904856,-1,-1.9054793025249115,Spring
Bouquet River,04276500,2024-05-25,2024,-2.0703983832681785,-1.9393793959148657,-1.8005270368343014,-0.05617860621421844,-1,-2.01421977705396,Spring
Bouquet River,04276500,2024-05-26,2024,-2.06423807456336,-1.9664742625212879,-1.8127929296774545,0.00616030870481854,0,-2.0703983832681785,Spring
Bouquet River,04276500,2024-05-27,2024,-2.0808638169463434,-1.9860461550940993,-1.8239073657474054,-0.01662574238298342,0,-2.06423807456336,Spring
Bouquet River,04276500,2024-05-28,2024,-1.4103464449625294,-2.0026720026616758,-1.8344958903489708,0.670517371983814,1,-2.0808638169463434,Spring
Bouquet River,04276500,2024-05-29,2024,-1.590528420120365,-1.9191961134663142,-1.8227677784151526,-0.18018197515783574,-1,-1.4103464449625294,Spring
Bouquet River,04276500,2024-05-30,2024,-1.7862363128914929,-1.876582031348521,-1.822676154800881,-0.19570789277112777,-1,-1.590528420120365,Spring
Bouquet River,04276500,2024-05-31,2024,-1.906896251520518,-1.859547318543747,-1.8287592798230414,-0.12065993862902502,-1,-1.7862363128914929,Summer
Bouquet River,04276500,2024-06-01,2024,-1.9877839613821597,-1.844215386324684,-1.837299868197962,-0.08088770986164184,-1,-1.906896251520518,Summer
Bouquet River,04276500,2024-06-02,2024,-2.050194997179892,-1.8324133260552526,-1.8475604010315378,-0.062411035797732106,-1,-1.9877839613821597,Summer
Bouquet River,04276500,2024-06-03,2024,-2.087266308555474,-1.8304071721433286,-1.8586110449586004,-0.03707131137558228,0,-2.050194997179892,Summer
Bouquet River,04276500,2024-06-04,2024,-2.1301665882716683,-1.831321813801776,-1.8694469284778805,-0.042900279716194145,0,-2.087266308555474,Summer
Bouquet River,04276500,2024-06-05,2024,-2.159621567609944,-1.9341532628459386,-1.8811951326879708,-0.029454979338275677,0,-2.1301665882716683,Summer
Bouquet River,04276500,2024-06-06,2024,-2.142197675693204,-2.015452283915878,-1.895520523397618,0.017423891916739986,0,-2.159621567609944,Summer
Bouquet River,04276500,2024-06-07,2024,-1.7491650015159104,-2.066303907173266,-1.9087526223244755,0.3930326741772936,1,-2.142197675693204,Summer
